"rank","player","age","position","team","games","mins_played","rebounds_defensive","pts"
249,"Vince Williams Jr.",25,"PG","2TM",40,820,5.1,13.2
144,"Vit Krejci",25,"PG","2TM",56,1227,2.8,14.8
432,"Walker Kessler",24,"C","UTA",5,154,7.2,16.8
220,"Walter Clayton",22,"PG","2TM",50,929,3.3,13.4
46,"Wendell Carter Jr.",26,"C","ORL",56,1661,6.6,14.1
200,"Will Richard",23,"SG","GSW",53,1038,2.8,12.9
242,"Will Riley",19,"SF","WAS",50,858,3.3,15.7
442,"Xavier Tillman Sr.",27,"C","2TM",19,123,4.7,9.7
397,"Yang Hansen",20,"C","POR",35,264,5.2,10.6
368,"Yanic Konan Niederhäuser",22,"C","LAC",38,374,6.2,14.6
228,"Yves Missi",21,"C","NOP",47,907,5.1,10.4
164,"Zaccharie Risacher",20,"SF","ATL",47,1141,4,15.2
419,"Zach Collins",28,"C","CHI",10,184,7.8,19
391,"Zach Edey",23,"C","MEM",11,284,10,19
146,"Zach LaVine",30,"SG","SAC",39,1224,2.9,22
331,"Zeke Nnaji",25,"PF","DEN",41,516,5.9,11.6
227,"Ziaire Williams",24,"SF","BRK",40,908,3.2,14.8
122,"Zion Williamson",25,"PF","NOP",44,1317,4.5,26.3
